URL: /
Timestamp: Sun Jan 15 2023 10:17:24 GMT-0500 (Eastern Standard Time)

URL: /
Timestamp: Sun Jan 15 2023 10:28:35 GMT-0500 (Eastern Standard Time)

URL: /
Timestamp: Sun Jan 15 2023 10:32:18 GMT-0500 (Eastern Standard Time)

URL: /favicon.ico
Timestamp: Sun Jan 15 2023 10:32:18 GMT-0500 (Eastern Standard Time)

::1 - - [08/Feb/2023:01:03:35 +0000] "GET /movies HTTP/1.1" 200 7713
::1 - - [08/Feb/2023:01:03:58 +0000] "GET /users/alexsears HTTP/1.1" 200 193
::1 - - [08/Feb/2023:01:05:24 +0000] "GET /movies/directors HTTP/1.1" 200 4
::1 - - [08/Feb/2023:01:08:25 +0000] "GET /movies/directors HTTP/1.1" 200 4
::1 - - [08/Feb/2023:01:11:45 +0000] "GET /movies/directors/:Name HTTP/1.1" 500 57
::1 - - [08/Feb/2023:01:12:16 +0000] "GET /movies/directors/ HTTP/1.1" 200 4
::1 - - [08/Feb/2023:01:12:41 +0000] "GET /movies/directors/Johnathan%20Demme HTTP/1.1" 200 148
::1 - - [08/Feb/2023:01:13:38 +0000] "GET /movies/genres HTTP/1.1" 200 4
::1 - - [08/Feb/2023:01:13:47 +0000] "GET /movies/genres/Thriller HTTP/1.1" 200 177
::1 - - [08/Feb/2023:01:23:33 +0000] "GET /movies HTTP/1.1" 200 7713
::1 - - [08/Feb/2023:01:24:23 +0000] "GET /movies/:The%20Help HTTP/1.1" 200 4
::1 - - [08/Feb/2023:01:24:32 +0000] "GET /movies/The%20Help HTTP/1.1" 200 588
::1 - - [08/Feb/2023:01:25:45 +0000] "GET /movies/genres HTTP/1.1" 200 4
::1 - - [08/Feb/2023:01:25:55 +0000] "GET /movies/genres/Thriller HTTP/1.1" 200 177
::1 - - [08/Feb/2023:01:26:30 +0000] "GET /movies/directors/Quentin%20Tarantino HTTP/1.1" 200 342
::1 - - [08/Feb/2023:01:26:57 +0000] "GET /movies/directors/users HTTP/1.1" 500 57
::1 - - [08/Feb/2023:01:27:04 +0000] "GET /movies/users HTTP/1.1" 200 4
::1 - - [08/Feb/2023:01:27:09 +0000] "GET /users HTTP/1.1" 201 1198
::1 - - [08/Feb/2023:01:27:33 +0000] "GET /users/alexsears HTTP/1.1" 200 193
::1 - - [08/Feb/2023:01:30:31 +0000] "POST /users/alexsears HTTP/1.1" 404 155
::1 - - [08/Feb/2023:01:30:39 +0000] "POST /users HTTP/1.1" 500 96
::1 - - [08/Feb/2023:01:30:58 +0000] "POST /users HTTP/1.1" 201 181
::1 - - [09/Feb/2023:16:14:02 +0000] "GET /movies HTTP/1.1" 401 -
::1 - - [09/Feb/2023:16:48:50 +0000] "GET /movies HTTP/1.1" 401 -
::1 - - [09/Feb/2023:16:50:42 +0000] "POST /users HTTP/1.1" 201 183
::1 - - [09/Feb/2023:16:51:59 +0000] "POST /users?Username=plaidpeacoat1&Password=Cu2%23r73y HTTP/1.1" 400 28
